Gene,Half-life (h)
yddA,0.103333333
B1497,0.163333333
B1498,0.071666667
B1499,0.096666667
B1500,0.101666667
B1502,0.136666667
B1503,0.141666667
B1504,0.113333333
B1505,0.1
B1506,0.123333333
hipA,0.078333333
hipB,0.103333333
B1509,0.095
ydeK,0.143333333
ydeV,0.08
ydeW,0.185
B1513,0.121666667
ydeY,0.16
ydeZ,0.143333333
B1516,0.101666667
yneB,0.083333333
B1518,0.086666667
B1519,0.07
uxaB,0
B1523,0.075
yneH,0.066666667
B1525,0.075
yneJ,0.091666667
B1527,0.091666667
ydeA,0.083333333
ydeB,0.065
marR,0.096666667
marA,0.083333333
marB,0.1
ydeD,0.058333333
ydeF,0.16
ydeH,0.061666667
dcp,0.073333333
ydfG,0.081666667
ydfH,0.07
B1541,0.088333333
ydfI,0.21
B1543,0.146666667
ydfK,0.078333333
B1545,0.076666667
ydfM,0.095
B1547,0.113333333
nohA,0.208333333
ydfO,0.086666667
B1550,0.095
B1551,0.086666667
cspI,0.096666667
B1553,0.108333333
B1554,0.101666667
B1555,0.093333333
B1556,0.066666667
cspB,0.126666667
cspF,0.055
B1559,0.123333333
B1560,0.101666667
rem,0.088333333
relF,0.136666667
relE,0.106666667
relB,0.083333333
